query_id,TCT-ColBERTv2+t5,ance+t5,bm25+rm3+t5,bm25+t5,marqo+t5,query
query-0,1.0,1.0,1.0,1.0,0.7346393630113782,how to spatchcock a turkey
query-1,0.2653606369886217,0.5865984075284455,0.5,0.35195904451706733,0.5,I want an easy to make dessert for christmas
query-10,0.7653606369886217,0.7346393630113782,0.7653606369886217,1.0,0.617319681505689,recommend some asian street foods
query-11,1.0,1.0,0.5,0.11731968150568911,0.46927872602275644,dinners by batali
query-12,1.0,1.0,0.0,0.11731968150568911,0.8826803184943108,traditional japanese soup
query-13,1.0,0.5865984075284455,0.46927872602275644,0.5307212739772434,0.8826803184943108,how to make singaporean chicken lunch
query-14,0.2960819109658652,0.41340159247155434,0.5865984075284455,0.5865984075284455,0.41340159247155434,a romantic dinner
query-15,1.0,1.0,1.0,1.0,1.0,mexican fiesta recipees
query-16,1.0,1.0,1.0,0.8519590445170673,0.8519590445170673,a modern icebox cake
query-17,1.0,1.0,1.0,1.0,1.0,food for diwali
query-18,1.0,1.0,0.0,0.46927872602275644,0.8826803184943108,i want a fancy eggs recipe
query-19,0.7346393630113782,0.7346393630113782,0.8826803184943108,1.0,0.6480409554829326,how to make low fat ice cream
query-2,1.0,0.8519590445170673,1.0,1.0,0.8826803184943108,any recommendations for a gluten free appetizer
query-20,1.0,1.0,1.0,1.0,1.0,how to prepare napoletana pizza dough
query-21,0.7653606369886217,0.7653606369886217,1.0,1.0,0.7653606369886217,make vegetarian tikka masala
query-22,0.6993694869720469,0.6645649565734895,0.8322824782867448,0.8322824782867448,0.6993694869720469,i want to make chia pudding recipe low carb
query-23,1.0,1.0,1.0,1.0,0.8826803184943108,how to make overnight oats
query-24,0.5307212739772434,0.41340159247155434,0.8519590445170673,0.41340159247155434,0.11731968150568911,can i have classic dairy free scones
query-25,0.7653606369886217,0.7653606369886217,1.0,1.0,0.2653606369886217,how to make spiked eggnog
query-26,1.0,1.0,0.8826803184943108,0.8826803184943108,0.7346393630113782,how to prepare spicy oysters
query-27,0.8826803184943108,1.0,0.8826803184943108,1.0,0.8519590445170673,how to quickly make baby food
query-28,0.8826803184943108,1.0,0.0,0.23463936301137822,0.1480409554829326,make lunch meal prep fast
query-29,0.46927872602275644,0.46927872602275644,0.5865984075284455,0.5865984075284455,0.7039180890341347,make vegetarian eintopf
query-3,0.7346393630113782,0.617319681505689,0.41340159247155434,0.41340159247155434,0.617319681505689,how to make a green goddess salad
query-30,1.0,1.0,0.7653606369886217,0.617319681505689,0.5,how to make light muffins
query-31,0.617319681505689,0.5865984075284455,0.46927872602275644,0.5865984075284455,0.617319681505689,make fried halloumi bites
query-32,0.8519590445170673,0.8519590445170673,0.8519590445170673,0.7653606369886217,0.8826803184943108,show me a creamy mushroom stroganoff recipe
query-33,1.0,1.0,1.0,1.0,1.0,can i have tender cooked pork
query-34,1.0,1.0,1.0,1.0,1.0,can i have soup good for the summer
query-35,0.8826803184943108,0.8519590445170673,1.0,0.8826803184943108,1.0,how to make boiled easter eggs
query-36,0.8826803184943108,1.0,1.0,0.8826803184943108,0.0,suggestions for road trip food
query-37,0.8826803184943108,0.8826803184943108,0.7346393630113782,0.8519590445170673,0.7346393630113782,how to make polish pierogi with cheese
query-38,1.0,0.8826803184943108,0.5865984075284455,0.5865984075284455,0.11731968150568911,how can i make one pot ramen
query-39,0.5307212739772434,0.7039180890341347,0.38268031849431083,0.5,0.7039180890341347,how to make a traditional greek dinner
query-4,1.0,1.0,0.8826803184943108,1.0,1.0,how to make a classic english trifle
query-40,0.7346393630113782,0.8826803184943108,1.0,1.0,1.0,how to make salty brownies
query-41,1.0,1.0,0.38268031849431083,0.38268031849431083,1.0,gingerbread cookies
query-42,1.0,1.0,1.0,1.0,1.0,how to make a mango and avocado salad
query-43,1.0,1.0,1.0,1.0,1.0,easy granola recipe
query-44,0.5,0.5,1.0,1.0,0.5,chili sin carne
query-45,0.8826803184943108,0.7346393630113782,0.617319681505689,0.617319681505689,0.7346393630113782,savory belgian waffles
query-46,0.617319681505689,0.617319681505689,0.6480409554829326,0.617319681505689,0.38268031849431083,how to make medium rare salmon
query-47,1.0,1.0,0.0,0.35195904451706733,1.0,a recipe with a whole chicken
query-48,0.5,0.7346393630113782,0.6480409554829326,0.5,0.2960819109658652,how to make a refreshing sweet smoothie
query-49,0.46927872602275644,0.7039180890341347,0.8826803184943108,0.6480409554829326,0.8826803184943108,a beefy burger
query-5,0.617319681505689,0.6480409554829326,0.5,0.5,0.8519590445170673,I want a scary pumpkin pie
query-50,0.8519590445170673,1.0,0.617319681505689,0.617319681505689,0.6480409554829326,i would like basic clafoutis with some fresh fruit
query-51,0.41340159247155434,0.5,0.38268031849431083,0.38268031849431083,0.2653606369886217,how to make african meat samosas
query-52,0.7653606369886217,0.5307212739772434,0.5,0.41340159247155434,0.8826803184943108,turkish chicken shish kebab
query-53,0.5,0.5865984075284455,0.5,0.5,0.1480409554829326,how to make old fashioned pie pastry
query-54,0.0,1.0,0.7653606369886217,1.0,0.5307212739772434,how to bake a multilayer cake
query-55,1.0,1.0,0.8519590445170673,0.8826803184943108,1.0,i want a deep fried chicken recipe
query-56,1.0,0.7346393630113782,0.7346393630113782,0.6480409554829326,0.8826803184943108,i would like a fresh and healthy oatmeal bowl
query-57,0.8519590445170673,0.8519590445170673,1.0,1.0,0.7346393630113782,i want a quick rice salad
query-58,1.0,1.0,0.38268031849431083,0.23463936301137822,1.0,japanese rice balls
query-59,1.0,1.0,1.0,1.0,0.8519590445170673,a fresh drink for a sunny day
query-6,1.0,0.5307212739772434,0.5307212739772434,0.5307212739772434,1.0,ideas for easy to carry tailgate food
query-60,0.8519590445170673,0.41340159247155434,0.7653606369886217,0.5307212739772434,1.0,i want some comfort food
query-61,1.0,1.0,1.0,0.8826803184943108,0.7346393630113782,suggestions for a summer grill recipe
query-62,1.0,1.0,1.0,1.0,1.0,vegetarian stuffed mushrooms
query-63,1.0,1.0,1.0,1.0,1.0,sourdough bread sandwiches
query-64,0.8826803184943108,0.8519590445170673,0.7039180890341347,0.46927872602275644,0.7653606369886217,recommendations for a mediterranean potluck
query-65,0.23463936301137822,0.5307212739772434,0.46927872602275644,0.46927872602275644,1.0,make a continental breakfast
query-66,1.0,1.0,1.0,1.0,1.0,homemade remedy for a cold
query-67,1.0,0.7653606369886217,1.0,1.0,1.0,fast and easy picnic foods
query-68,0.8519590445170673,1.0,0.8519590445170673,0.8519590445170673,0.8519590445170673,lunch ideas for fat loss
query-69,0.0,0.23463936301137822,0.0,0.0,0.7346393630113782,plant based food recipes
query-7,0.38268031849431083,0.23463936301137822,0.2653606369886217,0.2653606369886217,0.23463936301137822,I want to make halloween candy
query-70,0.1480409554829326,0.5,0.0,0.0,0.0,jain vegetarianism recipes
query-71,0.7653606369886217,1.0,0.2960819109658652,0.2960819109658652,1.0,meals pair with wine
query-72,0.7653606369886217,0.11731968150568911,1.0,1.0,0.7653606369886217,classic johnny marzetti recipe 
query-73,0.0,0.0,0.0,0.0,0.0,yakamein noodle soup
query-74,0.617319681505689,0.617319681505689,0.617319681505689,0.617319681505689,0.6480409554829326,original watermelon agua fresca
query-75,1.0,1.0,1.0,1.0,1.0,a rich buttery punjabi dish
query-76,1.0,1.0,1.0,1.0,1.0,make high protein bibimbap
query-77,1.0,1.0,1.0,0.7653606369886217,1.0,protein rich vegetable meal
query-78,0.33403537886056284,0.33403537886056284,0.17759056563718323,0.18921651013492932,0.32240943436281677,original sloppy joe burger
query-79,1.0,1.0,0.5307212739772434,0.5,1.0,oven baked potatoes
query-8,1.0,1.0,0.8826803184943108,0.8826803184943108,1.0,how to make a gluten free peach crisp
query-80,1.0,1.0,1.0,1.0,1.0,i want a crispy burrito
query-81,0.7653606369886217,0.7653606369886217,0.23463936301137822,0.7653606369886217,0.7653606369886217,colorful vegatable salad
query-82,1.0,1.0,1.0,1.0,1.0,slow-cooked fall-off-the-bone ribs
query-83,0.5865984075284455,0.7653606369886217,0.7653606369886217,0.8519590445170673,0.8519590445170673,fluffy cinnamon rolls
query-84,0.5865984075284455,0.617319681505689,1.0,1.0,0.8826803184943108,toasted garlic bread pizza
query-85,0.8519590445170673,0.7653606369886217,0.5,0.617319681505689,1.0,a fast dessert for valentines day
query-86,1.0,0.6480409554829326,0.7653606369886217,0.6480409554829326,1.0,thick butternut squash soup
query-87,1.0,1.0,1.0,1.0,1.0,an old fashioned beef stew witha  rich broth
query-88,0.0,0.0,0.23463936301137822,0.23463936301137822,0.8519590445170673,a savory bagel
query-89,0.2653606369886217,0.6480409554829326,0.38268031849431083,0.2653606369886217,0.2653606369886217,fried chinese dumplings
query-9,1.0,1.0,0.617319681505689,0.7653606369886217,1.0,healthy zucchini bread
query-90,1.0,1.0,0.5,0.5,0.7346393630113782,softly baked cookies
query-91,1.0,1.0,0.5,0.8826803184943108,0.8826803184943108,creamy white mousse
query-92,1.0,1.0,0.0,0.0,0.7039180890341347,a fast icecream recipe
query-93,0.7346393630113782,0.8826803184943108,0.35195904451706733,0.38268031849431083,0.7346393630113782,italian refreshing pasta salad
query-94,1.0,1.0,0.5865984075284455,0.617319681505689,1.0,homemade tomato sauce
query-95,0.7653606369886217,0.7653606369886217,0.6480409554829326,0.6480409554829326,0.7653606369886217,spicy vegetarian indian curry
query-96,1.0,0.46927872602275644,0.11731968150568911,0.0,0.46927872602275644,a grilled filling sandwich
query-97,1.0,1.0,0.8826803184943108,1.0,1.0,healthy sweet potato french fries
query-98,0.11731968150568911,1.0,0.5,0.5,0.8826803184943108,a well balanced meal
query-99,0.7039180890341347,0.5307212739772434,0.23463936301137822,0.23463936301137822,0.46927872602275644,make chicken soup with homemade broth
